OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
1,2377,320,4,368.79,1475.16
2,1342,482,2,357.82,715.64
3,696,457,5,192.68,963.4000000000001
4,400,278,4,560.94,2243.76
5,1430,220,5,346.63,1733.15
6,1686,312,5,1733.34,8666.699999999999
7,408,114,1,973.54,973.54
8,681,413,2,109.39,218.78
9,462,233,4,807.57,3230.28
10,1777,3,1,309.25,309.25
11,1804,124,2,1073.3,2146.6
12,2384,403,1,926.43,926.43
13,905,342,4,1010.48,4041.92
14,1633,143,2,1783.88,3567.76
15,5,233,5,763.34,3816.7000000000003
16,2059,282,2,391.32,782.64
17,95,207,1,1123.53,1123.53
18,2471,30,2,944.5,1889.0
19,717,219,2,1484.96,2969.92
20,2116,167,1,1121.37,1121.37
21,1533,478,3,1262.2,3786.6000000000004
22,1255,347,3,1561.59,4684.7699999999995
23,790,342,3,376.73,1130.19
24,14,343,3,207.15,621.45
25,170,6,5,1973.76,9868.8
26,269,29,2,852.34,1704.68
27,403,336,4,1369.4,5477.6
28,2019,474,5,1404.15,7020.75
29,15,336,3,805.06,2415.18
30,2455,165,3,566.52,1699.56
31,1299,32,4,686.58,2746.32
32,62,55,2,1427.44,2854.88
33,1489,239,3,1810.48,5431.4400000000005
34,193,379,4,394.26,1577.04
35,1140,71,4,1683.89,6735.56
36,518,122,4,1788.2,7152.8
37,1706,488,1,864.43,864.43
38,2340,286,5,1047.97,5239.85
39,2401,95,4,119.22,476.88
40,1637,179,5,827.45,4137.25
41,315,140,4,1804.67,7218.68
42,137,498,1,1838.96,1838.96
43,2474,94,2,926.05,1852.1
44,2122,57,3,1955.17,5865.51
45,1070,142,2,1997.25,3994.5
46,1388,304,5,516.93,2584.6499999999996
47,2437,262,3,924.76,2774.2799999999997
48,264,246,3,1371.69,4115.07
49,901,186,4,1351.56,5406.24
50,2075,176,4,1887.83,7551.32
51,1267,170,3,535.63,1606.8899999999999
52,1928,21,1,487.94,487.94
53,2293,286,5,686.28,3431.3999999999996
54,309,299,5,592.71,2963.55
55,376,197,2,1029.3,2058.6
56,1214,21,2,1323.71,2647.42
57,2179,328,2,1065.66,2131.32
58,1209,55,5,1207.58,6037.9
59,2113,21,2,1265.6,2531.2
60,1000,423,5,1330.25,6651.25
61,899,333,5,1299.87,6499.349999999999
62,912,434,4,1854.47,7417.88
63,2105,353,1,438.03,438.03
64,607,59,5,1094.79,5473.95
65,1988,407,4,874.13,3496.52
66,656,428,4,1122.65,4490.6
67,2496,105,4,377.07,1508.28
68,970,250,1,592.97,592.97
69,2013,103,1,1166.36,1166.36
70,1417,117,4,974.58,3898.32
71,587,20,1,1152.89,1152.89
72,1917,312,4,967.23,3868.92
73,832,425,3,223.67,671.01
74,1175,87,1,726.64,726.64
75,790,307,5,1368.36,6841.799999999999
76,1683,480,2,1954.2,3908.4
77,416,71,3,66.5,199.5
78,1682,238,5,1153.03,5765.15
79,83,179,4,1734.02,6936.08
80,2,226,3,1958.52,5875.5599999999995
81,744,346,2,1637.39,3274.78
82,176,16,3,1157.21,3471.63
83,2161,101,2,1965.01,3930.02
84,689,73,4,1062.59,4250.36
85,668,331,3,127.38,382.14
86,1511,14,4,1700.26,6801.04
87,7,11,3,1410.29,4230.87
88,1674,316,1,1794.93,1794.93
89,174,266,2,1901.73,3803.46
90,1869,308,2,202.36,404.72
91,2405,244,5,436.91,2184.55
92,39,426,2,616.4,1232.8
93,174,315,1,133.17,133.17
94,1175,491,2,183.16,366.32
95,2248,382,5,1342.57,6712.849999999999
96,197,131,3,1753.96,5261.88
97,2059,187,1,437.57,437.57
98,422,416,1,1369.67,1369.67
99,193,294,3,1846.22,5538.66
100,362,389,3,647.7,1943.1000000000001
101,1543,61,3,1552.65,4657.950000000001
102,2223,367,4,990.08,3960.32
103,2360,358,2,1594.54,3189.08
104,1430,404,5,1764.27,8821.35
105,1791,190,4,1723.24,6892.96
106,2331,109,5,1917.73,9588.65
107,102,199,5,264.75,1323.75
108,909,206,4,180.66,722.64
109,1342,326,2,446.43,892.86
110,1909,123,4,1921.34,7685.36
111,715,394,1,1625.97,1625.97
112,793,464,5,775.79,3878.95
113,1235,467,1,1197.78,1197.78
114,817,484,3,514.75,1544.25
115,1641,233,2,493.49,986.98
116,1185,2,1,940.0,940.0
117,1017,222,2,1803.35,3606.7
118,1045,15,5,189.9,949.5
119,1124,254,4,857.83,3431.32
120,1111,462,3,1772.61,5317.83
121,1322,426,1,923.94,923.94
122,1494,358,4,960.04,3840.16
123,1196,163,4,289.26,1157.04
124,1585,80,4,1845.77,7383.08
125,884,33,4,151.08,604.32
126,1655,4,5,636.95,3184.75
127,1918,75,1,1544.7,1544.7
128,433,298,2,1468.99,2937.98
129,2397,223,2,861.13,1722.26
130,1231,442,1,811.02,811.02
131,1922,298,5,1320.78,6603.9
132,44,378,3,1477.13,4431.39
133,1105,130,5,1505.84,7529.2
134,2312,140,4,134.97,539.88
135,1100,198,2,1220.96,2441.92
136,905,207,5,1943.22,9716.1
137,2,233,3,867.79,2603.37
138,438,190,5,610.41,3052.0499999999997
139,11,313,1,178.88,178.88
140,1472,468,2,1363.45,2726.9
141,86,242,2,718.77,1437.54
142,1815,393,5,1882.72,9413.6
143,222,66,5,119.11,595.55
144,1130,228,1,942.21,942.21
145,968,389,5,828.9,4144.5
146,127,397,2,1730.74,3461.48
147,65,331,4,121.38,485.52
148,906,169,3,475.16,1425.48
149,947,34,2,483.71,967.42
150,163,290,2,1582.65,3165.3
151,992,41,4,290.46,1161.84
152,2189,479,4,994.95,3979.8
153,421,490,2,446.38,892.76
154,1762,380,2,1522.59,3045.18
