Abby,Dog,Black,FDFDB6FE-3347-4E80-8C8A-2E3235C6D1DE,NULL,F,1999-02-19,Tricolor,2016-07-19
Ace,Dog,Ginger,33D50C6B-9D2E-4EB1-8171-0466DEE4F349,NULL,M,2005-12-19,Bicolor,2019-06-25
Angel,Dog,Brown,F0769A5E-1A11-49F1-AC80-3F40A32EA158,NULL,F,2001-09-19,Tuxedo,2017-02-04
April,Rabbit,Gray,CCFEF7E8-6FAD-4BA0-81EA-0611DD229E42,NULL,F,2005-01-27,Broken,2019-04-24
Archie,Cat,Ginger,970D7094-AB66-4DCA-A0D1-0C16264989AF,Persian,M,2009-08-26,Tricolor,2016-07-10
Arya,Dog,Gray,CD1528AD-C91D-47EA-9B70-3CACD5BDBE71,NULL,F,2014-04-14,Bicolor,2018-06-10
Aspen,Dog,Brown,51D4CFD1-CD25-4C5A-AA52-0BFD771F8886,NULL,F,2010-04-17,Tuxedo,2016-02-09
Bailey,Dog,Ginger,36438BC9-E225-4038-97B2-1E28FD287957,NULL,F,2014-09-28,Bicolor,2018-10-01
Baloo,Rabbit,White,F5CE3A02-1EC7-431D-8A76-09369E8D798B,English Lop,M,2015-04-27,Broken,2016-08-21
Beau,Dog,Cream,4B94A68C-0C97-4F70-9275-35B3A9EEE8D9,NULL,M,2016-02-09,Solid,2017-05-24
Benji,Dog,Gray,646F0A76-14E4-42E7-9554-3AF1EA6CC78F,English setter,M,2012-05-21,Bicolor,2018-10-02
Benny,Dog,Brown,2AE54BBB-A587-49D5-9A4D-1400A303C4BF,NULL,M,2010-03-04,Tuxedo,2018-09-30
Blue,Dog,Ginger,6D296D1D-E14D-4308-8B4F-27F87FE1534E,NULL,M,2003-09-03,Bicolor,2016-04-03
Bon bon,Rabbit,Gray,BCE7E239-304A-483D-9E38-05B9B66AF496,NULL,F,2002-06-29,Broken,2016-01-03
Boomer,Dog,Black,01E2AD60-DAA5-4681-B934-40C9DCF7D73A,Schnauzer,M,2013-08-11,Tricolor,2017-01-11
