InventoryID,ProductID,QuantityChange,ChangeType,ChangeDate
1,110,47,Purchase,2023-08-10 21:57:00
2,110,-11,Return,2023-01-27 09:04:00
3,110,-22,Damage,2023-01-28 06:24:00
4,106,-2,Return,2023-03-17 15:14:00
5,103,-12,Damage,2023-09-13 04:36:00
6,104,44,Adjustment,2023-12-13 18:50:00
7,103,-47,Return,2023-04-23 10:02:00
8,103,22,Purchase,2023-12-26 11:28:00
9,104,-9,Damage,2023-11-27 07:39:00
10,104,-4,Damage,2023-12-01 18:11:00
11,106,16,Purchase,2023-01-24 06:37:00
12,103,-22,Damage,2023-04-09 20:03:00
13,101,16,Purchase,2023-03-09 11:49:00
14,107,20,Adjustment,2023-05-09 22:10:00
15,109,-49,Damage,2023-07-30 07:48:00
16,101,20,Purchase,2023-12-06 14:06:00
17,110,22,Purchase,2023-11-14 07:29:00
18,103,-33,Return,2023-05-21 03:52:00
19,104,-30,Return,2023-07-29 23:30:00
20,101,-27,Return,2023-05-24 22:48:00
21,104,30,Purchase,2024-02-09 14:58:00
22,107,-24,Damage,2023-04-05 01:39:00
23,110,-12,Return,2023-01-01 07:21:00
24,104,15,Adjustment,2023-02-15 22:34:00
25,106,3,Adjustment,2023-06-13 04:06:00
26,104,40,Purchase,2023-02-13 05:47:00
27,104,-27,Return,2024-01-09 10:02:00
28,103,11,Purchase,2023-02-28 00:50:00
29,107,22,Purchase,2023-05-05 01:55:00
30,104,-20,Return,2024-01-17 21:53:00
31,107,-22,Damage,2023-01-28 02:15:00
32,105,-36,Return,2023-09-23 22:16:00
33,102,-18,Damage,2023-03-06 17:37:00
34,101,-30,Damage,2023-01-12 00:37:00
35,109,-7,Damage,2023-09-30 14:09:00
36,102,38,Purchase,2024-01-24 23:33:00
37,110,-25,Damage,2023-08-24 19:26:00
38,101,-29,Damage,2024-02-13 19:48:00
39,108,-30,Return,2023-10-19 18:46:00
40,104,-20,Return,2023-08-24 12:07:00
41,108,7,Adjustment,2023-12-26 09:44:00
42,104,-8,Return,2023-05-13 02:47:00
43,101,19,Adjustment,2023-08-25 13:54:00
44,104,-38,Damage,2023-09-12 15:37:00
45,101,48,Adjustment,2023-03-14 23:45:00
46,109,9,Adjustment,2023-09-26 03:14:00
47,107,-50,Damage,2023-12-04 08:52:00
48,105,-27,Damage,2023-12-27 11:47:00
49,106,30,Purchase,2023-03-16 21:18:00
50,105,4,Purchase,2023-01-19 23:16:00
51,109,-42,Return,2024-03-01 12:49:00
52,105,-32,Return,2024-02-14 07:53:00
53,106,39,Purchase,2023-05-27 20:10:00
