ASIN,RetailerId,CurrencyId,ProductId,PaymentTypeId,CustomerId,StatusId,GiftId,Order ID,Order Date,Purchase Order Number,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal Tax,Quantity,Ship Date,Item Serial Number,SalesPerson Id
B002638,1,1,2,3,1,5,null,ORD-000001,2025-03-07,PO-00001,32.85,3.29,17.6,1.49,34.65,3.29,1,2025-03-09,null,SP-022
B002025,1,1,3,2,1,3,null,ORD-000002,2025-03-10,PO-00002,26.8,2.68,12.01,0.42,87.18,8.04,3,2025-03-14,null,SP-033
B006366,1,1,1,2,1,5,null,ORD-000003,2025-03-12,PO-00003,210.74,21.07,7.47,4.27,910.16,84.28,4,2025-03-24,null,SP-020
B001116,1,1,3,2,1,8,null,ORD-000004,2025-03-10,PO-00004,20.62,2.06,19.13,2.28,40.8,4.12,2,2025-03-19,null,SP-024
B004212,1,1,1,3,1,3,null,ORD-000005,2025-03-07,PO-00005,488.94,48.89,19.39,90.56,3578.16,391.12,8,2025-03-13,null,SP-018
B002393,1,1,2,3,1,1,null,ORD-000006,2025-03-16,PO-00006,485.74,48.57,11.89,5.37,4760.46,437.13,9,2025-03-14,null,SP-033
B002214,1,1,1,3,1,9,null,ORD-000007,2025-03-09,PO-00007,132.41,13.24,8.76,7.33,553.28,52.96,4,2025-03-09,null,SP-020
B001885,1,1,1,2,1,3,null,ORD-000008,2025-03-15,PO-00008,392.03,39.2,11.92,22.79,816.88,78.4,2,2025-03-06,null,SP-024
B008778,1,1,1,2,1,7,null,ORD-000009,2025-03-16,PO-00009,421.33,42.13,5.45,31.07,4323.9,421.3,10,2025-03-26,null,SP-026
B005777,1,1,3,1,1,6,null,ORD-000010,2025-03-08,PO-00010,98.82,9.88,12.65,4.37,417.32,39.52,4,2025-03-25,null,SP-037
B008190,1,1,2,1,1,7,null,ORD-000011,2025-03-25,PO-00011,348.44,34.84,5.22,19.72,3635.6,348.4,10,2025-03-07,null,SP-023
B003263,1,1,2,1,1,4,null,ORD-000012,2025-03-06,PO-00012,118.25,11.83,15,18.21,783.09,82.81,7,2025-03-21,null,SP-013
B001804,1,1,1,3,1,8,null,ORD-000013,2025-03-14,PO-00013,476.28,47.63,11.66,74.72,898.38,95.26,2,2025-03-22,null,SP-006
B003441,1,1,1,1,1,8,null,ORD-000014,2025-03-05,PO-00014,77.21,7.72,11.01,10.36,447.42,46.32,6,2025-03-07,null,SP-012
B006565,1,1,3,2,1,7,null,ORD-000015,2025-03-20,PO-00015,255.81,25.58,11.38,35.91,1227.4,127.9,5,2025-03-28,null,SP-019
B003457,1,1,3,3,1,2,null,ORD-000016,2025-03-17,PO-00016,102.79,10.28,7.54,7.08,211.98,20.56,2,2025-03-06,null,SP-034
B008748,1,1,3,1,1,8,null,ORD-000017,2025-03-09,PO-00017,149.21,14.92,19.9,22.99,564.56,59.68,4,2025-03-25,null,SP-036
B004574,1,1,3,2,1,7,null,ORD-000018,2025-03-07,PO-00018,372.93,37.29,7.07,34.56,1126.98,111.87,3,2025-03-04,null,SP-026
B003288,1,1,1,2,1,1,null,ORD-000019,2025-03-17,PO-00019,349,34.9,19.92,29.81,2124.54,209.4,6,2025-03-09,null,SP-030
B006009,1,1,2,1,1,2,null,ORD-000020,2025-03-28,PO-00020,260.88,26.09,18.92,15.24,2173.84,208.72,8,2025-03-22,null,SP-028
B001181,1,1,3,1,1,7,null,ORD-000021,2025-03-17,PO-00021,404.15,40.41,5.89,50.5,1182.18,121.23,3,2025-03-04,null,SP-025
B005440,1,1,2,2,1,5,null,ORD-000022,2025-03-14,PO-00022,371.13,37.11,6.11,67.23,682.02,74.22,2,2025-03-27,null,SP-025
B007242,1,1,2,2,1,8,null,ORD-000023,2025-03-17,PO-00023,172.99,17.3,5.54,22.13,504.48,51.9,3,2025-03-15,null,SP-039
B008300,1,1,1,2,1,8,null,ORD-000024,2025-03-25,PO-00024,353.71,35.37,8.77,42.48,693.2,70.74,2,2025-03-06,null,SP-012
