GiftId,Gift Message,Gift Recipient Contact Details,Gift Sender Name
1,N/A,N/A,N/A
2,N/A,N/A,Alice
3,N/A,N/A,Bob
4,N/A,N/A,Charlie
5,N/A,N/A,David
6,N/A,Emma Smith,N/A
7,N/A,Emma Smith,Alice
8,N/A,Emma Smith,Bob
9,N/A,Emma Smith,Charlie
10,N/A,Emma Smith,David
11,N/A,John Doe,N/A
12,N/A,John Doe,Alice
13,N/A,John Doe,Bob
14,N/A,John Doe,Charlie
15,N/A,John Doe,David
16,N/A,Michael Brown,N/A
17,N/A,Michael Brown,Alice
18,N/A,Michael Brown,Bob
19,N/A,Michael Brown,Charlie
20,N/A,Michael Brown,David
21,Best Wishes!,N/A,N/A
22,Best Wishes!,N/A,Alice
23,Best Wishes!,N/A,Bob
24,Best Wishes!,N/A,Charlie
25,Best Wishes!,N/A,David
26,Best Wishes!,Emma Smith,N/A
27,Best Wishes!,Emma Smith,Alice
28,Best Wishes!,Emma Smith,Bob
29,Best Wishes!,Emma Smith,Charlie
30,Best Wishes!,Emma Smith,David
31,Best Wishes!,John Doe,N/A
32,Best Wishes!,John Doe,Alice
33,Best Wishes!,John Doe,Bob
34,Best Wishes!,John Doe,Charlie
35,Best Wishes!,John Doe,David
36,Best Wishes!,Michael Brown,N/A
37,Best Wishes!,Michael Brown,Alice
38,Best Wishes!,Michael Brown,Bob
39,Best Wishes!,Michael Brown,Charlie
40,Best Wishes!,Michael Brown,David
41,Congratulations!,N/A,N/A
42,Congratulations!,N/A,Alice
43,Congratulations!,N/A,Bob
44,Congratulations!,N/A,Charlie
45,Congratulations!,N/A,David
46,Congratulations!,Emma Smith,N/A
47,Congratulations!,Emma Smith,Alice
48,Congratulations!,Emma Smith,Bob
49,Congratulations!,Emma Smith,Charlie
50,Congratulations!,Emma Smith,David
51,Congratulations!,John Doe,N/A
52,Congratulations!,John Doe,Alice
53,Congratulations!,John Doe,Bob
54,Congratulations!,John Doe,Charlie
55,Congratulations!,John Doe,David
56,Congratulations!,Michael Brown,N/A
57,Congratulations!,Michael Brown,Alice
58,Congratulations!,Michael Brown,Bob
59,Congratulations!,Michael Brown,Charlie
60,Congratulations!,Michael Brown,David
61,Enjoy your gift!,N/A,N/A
62,Enjoy your gift!,N/A,Alice
63,Enjoy your gift!,N/A,Bob
64,Enjoy your gift!,N/A,Charlie
65,Enjoy your gift!,N/A,David
66,Enjoy your gift!,Emma Smith,N/A
67,Enjoy your gift!,Emma Smith,Alice
68,Enjoy your gift!,Emma Smith,Bob
69,Enjoy your gift!,Emma Smith,Charlie
70,Enjoy your gift!,Emma Smith,David
71,Enjoy your gift!,John Doe,N/A
72,Enjoy your gift!,John Doe,Alice
73,Enjoy your gift!,John Doe,Bob
74,Enjoy your gift!,John Doe,Charlie
75,Enjoy your gift!,John Doe,David
76,Enjoy your gift!,Michael Brown,N/A
77,Enjoy your gift!,Michael Brown,Alice
78,Enjoy your gift!,Michael Brown,Bob
79,Enjoy your gift!,Michael Brown,Charlie
80,Enjoy your gift!,Michael Brown,David
81,Happy Birthday!,N/A,N/A
82,Happy Birthday!,N/A,Alice
83,Happy Birthday!,N/A,Bob
84,Happy Birthday!,N/A,Charlie
85,Happy Birthday!,N/A,David
86,Happy Birthday!,Emma Smith,N/A
87,Happy Birthday!,Emma Smith,Alice
88,Happy Birthday!,Emma Smith,Bob
89,Happy Birthday!,Emma Smith,Charlie
90,Happy Birthday!,Emma Smith,David
91,Happy Birthday!,John Doe,N/A
92,Happy Birthday!,John Doe,Alice
93,Happy Birthday!,John Doe,Bob
94,Happy Birthday!,John Doe,Charlie
95,Happy Birthday!,John Doe,David
96,Happy Birthday!,Michael Brown,N/A
97,Happy Birthday!,Michael Brown,Alice
98,Happy Birthday!,Michael Brown,Bob
99,Happy Birthday!,Michael Brown,Charlie
100,Happy Birthday!,Michael Brown,David
