ASIN,RetailerId,CurrencyId,ProductId,PaymentTypeId,CustomerId,StatusId,GiftId,Order ID,Order Date,Purchase Order Number,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal Tax,Quantity,Ship Date,Item Serial Number
3212ea10-0,5,3,18,3,7,20,63,367f10d1,2023-04-19,480d8cc8-99e,123.71,46.61,13.74,29.31,412.33,43.48,1,2023-04-20,fdaa6a54-641c-4
0f7dfd4a-8,4,5,11,1,16,7,34,62a0f1c3,2023-07-23,ff37e316-277,258.75,19.34,12.86,13.11,108.76,33.97,2,null,61c7bbd2-8c66-4
dbda5e34-3,4,1,9,1,11,17,null,9bd402d0,2024-06-28,f7a3b8b5-b62,212.39,9.52,14.95,3.71,74.88,31.13,4,2024-07-02,f61af97e-2809-4
58c8d18f-f,2,2,5,3,22,14,null,87ac01a0,2022-04-29,67c77e16-21e,338.06,15.03,18,22.68,152.79,37.34,3,null,c3545419-6ff4-4
169c00d2-4,2,1,16,2,15,14,null,c562c773,2023-08-15,88423238-d91,117.28,19.03,12.07,15.72,55.85,35.9,4,2023-08-25,a66d0c11-2064-4
c2d08b9c-0,3,3,17,2,22,18,96,57cb8d06,2022-09-05,22563f35-462,394.62,8.86,6.54,28.37,491.31,38.09,5,2022-09-06,fb47e1d2-8d1d-4
450803a6-1,2,1,18,4,16,4,null,7841a4c5,2024-10-08,02d069be-d4b,35.26,22.3,9.27,3.99,228.53,22.12,4,2024-10-17,2d955552-54f2-4
d3576955-7,4,4,9,4,11,14,null,9383e677,2024-03-03,9bf65903-2dc,46.5,23.61,0.95,23.74,413.85,46.05,5,2024-03-05,86deef1e-5f0d-4
e38b7059-d,2,5,16,2,22,7,null,6ab7ed8e,2023-11-22,888969e4-7ac,68.57,40.84,7.15,19,362.7,42.55,4,2023-12-02,080f9fd7-4062-4
c5e41856-3,5,3,7,4,10,14,106,759d32ae,2023-02-26,da2e1d81-d6f,44.96,6.56,17.05,2.56,69.67,16.95,3,2023-02-27,652acc4c-7aa4-4
409d6aca-a,5,2,9,4,11,9,71,7972afa5,2023-02-11,b8408a77-b07,231.92,36.31,0.7,29.74,507.4,28.73,4,2023-02-21,b922cabe-187b-4
7b390adc-2,5,3,9,3,10,13,null,b2fcf75e,2024-04-17,e4866d71-d90,154.68,35.27,11.76,23.14,241.29,16.53,5,2024-04-25,65034d15-365e-4
9416e628-e,3,4,6,1,25,4,null,6cb0386f,2022-07-30,6138dd45-530,162.69,16.69,14.05,8.08,528.15,31.74,5,2022-08-06,444c6b83-a0b4-4
8e0b4449-c,5,1,3,4,14,15,47,61852648,2022-12-23,4eb34e8e-b3a,188.7,36.28,2.8,9.34,236.68,9.42,2,2022-12-26,95906b0d-0ee4-4
92bd8e8b-9,5,1,15,3,14,12,36,6c77831c,2023-05-02,cd76b5f7-bb4,372.58,35.8,2.78,14.72,374.92,21.13,5,2023-05-09,443aedec-4caf-4
1b5c8090-0,1,3,12,1,14,13,87,a5db6820,2023-06-27,aae9efbd-79d,402.22,9.91,14.29,6.17,545.41,16.92,5,2023-07-04,0924e472-7aa1-4
856fc8e0-3,4,5,20,2,16,14,null,b048ef58,2022-04-09,458555b2-97d,91.58,4.3,15.58,16.22,403.06,26.73,3,null,a5f1a47c-98c8-4
49d33dcf-8,1,4,16,1,6,3,60,455c19b4,2025-01-17,9ecf80be-547,418.52,43.77,2.7,9.12,262.16,9.95,4,2025-01-27,39a9e6a0-ca00-4
87602e6b-4,4,2,4,1,5,17,null,bcc658e4,2024-05-26,3d6c08d8-ccc,144.47,47.79,7.09,17.12,424.08,12.83,1,2024-05-28,510413a0-b7b4-4
496e8ef6-9,2,4,2,1,18,1,58,7a165416,2022-06-15,ea665622-94d,42.72,7.2,9.38,28.14,331.76,28.17,5,2022-06-24,050e4f3c-bd05-4
a7ea7529-8,2,2,12,2,8,3,39,646e08c0,2024-06-13,f346e0d7-f4e,28.01,14.33,12.25,26.79,357.45,29.9,3,2024-06-15,6da691a9-3ab1-4
c4642341-d,2,2,18,2,20,2,105,8970aa4d,2024-03-02,c2cb703c-09d,408.69,1.13,18.42,8.58,191.11,41.79,4,2024-03-03,1e4134a7-8011-4
f92518d1-1,3,4,11,3,11,6,86,9fe6b4b0,2024-08-02,8e050f01-676,463.75,47.28,15.23,20.94,233.57,15.03,3,2024-08-03,a943a7ff-d6e9-4
a1c9beaf-f,3,2,1,2,15,8,null,f5c6f428,2022-11-06,a23afe5d-3f4,234.16,49.71,16.36,27.93,558.17,10.12,2,null,30590af2-bf12-4
974f2bd8-1,5,2,5,3,19,18,32,e4c3bda2,2022-11-17,00624be1-4b7,414.94,10.9,17.53,11.15,543.96,7.99,5,null,41857583-6b7e-4
2fd787ff-4,4,3,19,4,5,10,null,e69c331d,2022-11-01,715b64c7-9ff,209.66,8.68,8.41,21.29,496.73,47.56,3,null,5965601b-0a5e-4
50b198bc-1,4,3,10,4,1,10,68,c89c7f42,2023-06-06,08982b02-e05,395.67,19.08,16.68,0.34,93.34,3.91,1,2023-06-10,f66c69d8-abd4-4
b3ccc84c-2,5,1,12,3,8,16,null,58638537,2024-04-28,069ca06f-f97,193.24,48.83,17.41,4.63,312.48,33.49,3,null,20b1212c-8005-4
94b472fa-0,3,2,11,2,7,18,null,e88c28df,2023-08-10,ed560b2e-e96,238.43,5.77,16.06,7.27,312.1,27.21,3,2023-08-17,a613af92-3139-4
7a75a11e-2,1,4,10,4,3,19,39,e94685f3,2022-11-23,5e1be36f-4d2,36.89,35.57,17,3.55,421.39,8.99,1,2022-11-25,5bcef96e-9c22-4
3932a745-0,5,3,9,2,14,8,null,e2b36985,2023-05-26,ebd4aee1-2e5,139.58,21.34,11.73,8.07,112.08,13.79,4,2023-05-27,184573a6-edbc-4
8e8fa0e8-2,3,3,11,2,7,3,null,f5718ee6,2024-04-14,a27598ab-4bf,100.62,3.99,5.92,26.23,320.08,48.45,4,2024-04-22,a42b143e-7da8-4
c36a4905-1,5,2,7,4,22,14,68,fdb3c54c,2024-10-18,294d4bd4-ef6,245.35,47.2,6.72,26.88,444.1,38.43,1,null,ffe195e6-d9a5-4
9a1a510b-4,5,3,12,2,18,12,null,beeccbe2,2023-02-24,575c4195-822,116.66,10.23,13.36,13.4,86.6,35.78,4,2023-03-02,4e0c8bac-1e0f-4
0d330b82-7,5,5,16,1,18,17,82,7246670a,2024-07-28,2b6ca3e7-578,5.53,15.47,13.52,14.64,468.85,31,2,2024-08-04,e3020fc3-35c2-4
22506a63-a,4,2,16,3,1,14,null,827aa09a,2022-10-11,d6dc9079-bea,484,42.42,11.31,20.51,259.43,40.33,3,null,6c726db8-ff96-4
eeead6b6-b,3,3,3,4,20,10,120,ef809d77,2022-11-20,617ddf4e-d8b,182.99,1.83,0.63,24.02,238.93,39.4,4,2022-11-27,334fe0dd-603b-4
