Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number,Salesperson ID,Store Manager ID
Amazon,ORD-000001,2025-03-07,PO-00001,USD,32.85,3.29,17.6,1.49,34.65,32.85,3.29,B002638,New,1,PayPal,Pending,In Transit,2025-03-09,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-6 - Tracking-6929,Sample Product,,,,,SP-022,SM-003
Amazon,ORD-000002,2025-03-10,PO-00002,USD,26.8,2.68,12.01,0.42,87.18,80.4,8.04,B002025,Refurbished,3,Gift Card,Cancelled,Pending,2025-03-14,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-4814,Sample Product,,,,,SP-033,SM-004
Amazon,ORD-000003,2025-03-12,PO-00003,USD,210.74,21.07,7.47,4.27,910.16,842.96,84.28,B006366,Used - Like New,4,Gift Card,Pending,In Transit,2025-03-24,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-7039,Sample Product,,,,,SP-020,SM-003
Amazon,ORD-000004,2025-03-10,PO-00004,USD,20.62,2.06,19.13,2.28,40.8,41.24,4.12,B001116,Refurbished,2,Gift Card,Shipped,In Transit,2025-03-19,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-6 - Tracking-8704,Sample Product,,,,,SP-024,SM-003
Amazon,ORD-000005,2025-03-07,PO-00005,USD,488.94,48.89,19.39,90.56,3578.16,3911.52,391.12,B004212,Used - Like New,8,PayPal,Cancelled,Pending,2025-03-13,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-5 - Tracking-3387,Sample Product,,,,,SP-018,SM-002
Amazon,ORD-000006,2025-03-16,PO-00006,USD,485.74,48.57,11.89,5.37,4760.46,4371.66,437.13,B002393,New,9,PayPal,Cancelled,Delivered,2025-03-14,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-9 - Tracking-3345,Sample Product,,,,,SP-033,SM-004
Amazon,ORD-000007,2025-03-09,PO-00007,USD,132.41,13.24,8.76,7.33,553.28,529.64,52.96,B002214,Used - Like New,4,PayPal,Shipped,Pending,2025-03-09,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-7717,Sample Product,,,,,SP-020,SM-003
Amazon,ORD-000008,2025-03-15,PO-00008,USD,392.03,39.2,11.92,22.79,816.88,784.06,78.4,B001885,Used - Like New,2,Gift Card,Cancelled,Pending,2025-03-06,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-9834,Sample Product,,,,,SP-024,SM-003
Amazon,ORD-000009,2025-03-16,PO-00009,USD,421.33,42.13,5.45,31.07,4323.9,4213.3,421.3,B008778,Used - Like New,10,Gift Card,Shipped,Delivered,2025-03-26,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-9 - Tracking-8346,Sample Product,,,,,SP-026,SM-003
Amazon,ORD-000010,2025-03-08,PO-00010,USD,98.82,9.88,12.65,4.37,417.32,395.28,39.52,B005777,Refurbished,4,Credit Card,Pending,Pending,2025-03-25,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-6 - Tracking-2903,Sample Product,,,,,SP-037,SM-005
